1,44.60
2,67.43
3,56.88
4,76.09
5,82.77
6,83.71
7,84.07
8,84.80
9,85.17
10,85.95
11,86.26
12,86.67
13,86.78
14,87.09
15,87.49
16,87.74
17,88.02
18,87.74
19,88.24
20,88.41
1,58.52
2,72.53
3,75.77
4,79.09
5,80.52
6,82.05
7,82.75
8,82.43
9,84.31
10,84.90
11,85.37
1,63.58
2,73.28
3,80.05
1,60.12
2,76.38
3,79.22
4,82.70
5,84.46
6,85.12
7,85.66
8,86.40
9,86.44
10,87.12
11,86.63
12,87.09
13,87.57
14,87.64
15,88.13
16,88.48
17,88.80
18,88.67
19,88.89
20,88.97
1,48.91
2,68.50
3,77.56
4,80.57
5,81.92
6,82.75
7,83.11
8,84.52
9,84.52
10,85.72
11,85.62
12,86.17
13,86.70
14,86.86
15,87.25
16,87.67
17,87.82
18,88.21
19,88.05
20,88.31
